n.ops,count,Linear,Quadratic,Log,Log-linear,Exponential
88,11660,132.5,1.505681818,5996.453539,68.14151748,3.76755E-23
89,11926,134,1.505617978,6117.811192,68.73945159,1.92675E-23
90,12195,135.5,1.505555556,6240.269537,69.33632819,9.85104E-24
91,12467,137,1.505494505,6363.826741,69.93216199,5.03538E-24
92,12742,138.5,1.505434783,6488.480997,70.52696736,2.57323E-24
93,13020,140,1.505376344,6614.230522,71.1207583,1.31468E-24
94,13301,141.5,1.505319149,6741.073558,71.71354849,6.71529E-25
95,13585,143,1.505263158,6869.008371,72.30535127,3.42934E-25
96,13872,144.5,1.505208333,6998.03325,72.89617969,1.75089E-25
97,14162,146,1.505154639,7128.146508,73.48604648,8.93748E-26
98,14455,147.5,1.505102041,7259.346478,74.07496406,4.56119E-26
99,14751,149,1.505050505,7391.631517,74.66294461,2.3273E-26
