n,ops-best,ops-average,ops-worst,Best Lin,Avg Lin,Worst Lin,Best Qua,Avg Qua,Worst Qua,Best log,Avg LOG,Worst log
52,52,2156,2703,1,0.024118738,0.019237884,0.019230769,0.797337278,0.999630178,30.30297126,15.59852396,15.15219486
53,53,2153,2756,1,0.024616814,0.019230769,0.018867925,0.766464934,0.981132075,30.73754086,15.9013801,15.40572631
54,54,2234,2884,1,0.024171889,0.018723994,0.018518519,0.76611797,0.989026063,31.17074262,16.12381577,15.60695781
55,55,2315,3024,1,0.023758099,0.018187831,0.018181818,0.765289256,0.999669421,31.60260808,16.34690634,15.80195593
56,56,2429,3135,1,0.023054755,0.017862839,0.017857143,0.774553571,0.999681122,32.03316756,16.54148546,16.0172183
57,57,2546,3248,1,0.02238806,0.017549261,0.01754386,0.783625731,0.999692213,32.46245017,16.735869,16.23184302
58,58,2523,3363,1,0.022988506,0.017246506,0.017241379,0.75,0.999702735,32.89048388,17.04920953,16.44584403
59,59,2724,3429,1,0.021659325,0.017206183,0.016949153,0.782533755,0.985061764,33.31729564,17.17509257,16.68944972
60,60,2681,3599,1,0.022379709,0.016671298,0.016666667,0.744722222,0.999722222,33.74291135,17.50140179,16.87202809
61,61,2884,3720,1,0.021151179,0.016397849,0.016393443,0.775060468,0.999731255,34.16735597,17.63008198,17.08423649
62,62,2720,3843,1,0.022794118,0.016133229,0.016129032,0.707596254,0.999739854,34.59065357,18.05175605,17.29587196
63,63,3042,3968,1,0.020710059,0.015877016,0.015873016,0.766439909,0.999748047,35.01282735,18.08702853,17.50694606
64,64,3210,4070,1,0.019937695,0.015724816,0.015625,0.783691406,0.993652344,35.43389968,18.25179186,17.73052392
65,65,3158,4204,1,0.020582647,0.015461465,0.015384615,0.747455621,0.995029586,35.85389217,18.57454843,17.93765183
66,66,3340,4320,1,0.019760479,0.015277778,0.015151515,0.766758494,0.991735537,36.27282568,18.7300649,18.15439281
67,67,3584,4488,1,0.018694196,0.014928699,0.014925373,0.798396079,0.999777233,36.69072039,18.85004591,18.34584624
68,68,3388,4574,1,0.020070838,0.014866638,0.014705882,0.732698962,0.989186851,37.10759578,19.26376496,18.5777317
